    58.594   2593.944 0 # matmult_nkm
   234.375   2510.458 0 # matmult_nkm
   937.500   2023.783 0 # matmult_nkm
  2109.375   1334.786 0 # matmult_nkm
  3750.000   1100.485 0 # matmult_nkm
  5859.375   1153.187 0 # matmult_nkm
  8437.500   1179.079 0 # matmult_nkm
 11484.375   1240.880 0 # matmult_nkm
 15000.000    974.119 0 # matmult_nkm
 18984.375   1307.234 0 # matmult_nkm
 23437.500   1301.702 0 # matmult_nkm
 28359.375   1306.266 0 # matmult_nkm
 33750.000   1112.974 0 # matmult_nkm
 39609.375   1303.012 0 # matmult_nkm
 45937.500   1298.108 0 # matmult_nkm
 52734.375    932.463 0 # matmult_nkm
 93750.000    912.087 0 # matmult_nkm
146484.375    742.884 0 # matmult_nkm
