    58.594    666.892 0 # matmult_kmn
   234.375    666.501 0 # matmult_kmn
   937.500    673.506 0 # matmult_kmn
  2109.375    674.183 0 # matmult_kmn
  3750.000    673.022 0 # matmult_kmn
  5859.375    651.441 0 # matmult_kmn
  8437.500    646.429 0 # matmult_kmn
 11484.375    658.329 0 # matmult_kmn
 15000.000    661.077 0 # matmult_kmn
 18984.375    647.311 0 # matmult_kmn
 23437.500    646.749 0 # matmult_kmn
 28359.375    639.251 0 # matmult_kmn
 33750.000    633.155 0 # matmult_kmn
 39609.375    647.808 0 # matmult_kmn
 45937.500    642.245 0 # matmult_kmn
 52734.375    637.434 0 # matmult_kmn
 93750.000    659.093 248 # matmult_kmn
146484.375    634.626 968 # matmult_kmn
