    58.594    638.760 0 # matmult_nkm
   234.375    602.249 0 # matmult_nkm
   937.500    510.563 0 # matmult_nkm
  2109.375    446.356 0 # matmult_nkm
  3750.000    420.197 0 # matmult_nkm
  5859.375    391.295 0 # matmult_nkm
  8437.500    433.386 0 # matmult_nkm
 11484.375    391.948 0 # matmult_nkm
 15000.000    377.165 0 # matmult_nkm
 18984.375    210.424 0 # matmult_nkm
 23437.500    425.036 0 # matmult_nkm
 28359.375    348.248 0 # matmult_nkm
 33750.000    300.911 0 # matmult_nkm
 39609.375    225.497 0 # matmult_nkm
 45937.500    273.864 0 # matmult_nkm
 52734.375    206.934 0 # matmult_nkm
 93750.000    282.810 248 # matmult_nkm
146484.375    226.655 968 # matmult_nkm
