    58.594   2615.264 0 # matmult_nkm
   234.375   2360.777 0 # matmult_nkm
   937.500   1909.615 0 # matmult_nkm
  2109.375   1381.552 0 # matmult_nkm
  3750.000   1106.999 0 # matmult_nkm
  5859.375   1126.631 0 # matmult_nkm
  8437.500   1142.547 0 # matmult_nkm
 11484.375   1142.997 0 # matmult_nkm
 15000.000   1003.234 0 # matmult_nkm
 18984.375   1205.758 0 # matmult_nkm
 23437.500   1195.285 0 # matmult_nkm
 28359.375   1159.944 0 # matmult_nkm
 33750.000    966.173 0 # matmult_nkm
 39609.375    973.203 0 # matmult_nkm
 45937.500    946.858 0 # matmult_nkm
 52734.375    828.609 0 # matmult_nkm
 93750.000    836.587 248 # matmult_nkm
146484.375    793.311 968 # matmult_nkm
