    58.594   4055.495 0 # matmult_kmn
   234.375   4237.299 0 # matmult_kmn
   937.500   4142.449 0 # matmult_kmn
  2109.375   4095.646 0 # matmult_kmn
  3750.000   3695.902 0 # matmult_kmn
  5859.375   3396.683 0 # matmult_kmn
  8437.500   3495.373 0 # matmult_kmn
 11484.375   3572.854 0 # matmult_kmn
 15000.000   3551.482 0 # matmult_kmn
 18984.375   3565.461 0 # matmult_kmn
 23437.500   3615.449 0 # matmult_kmn
 28359.375   3478.109 0 # matmult_kmn
 33750.000   3662.867 0 # matmult_kmn
 39609.375   3189.593 0 # matmult_kmn
 45937.500   3582.431 0 # matmult_kmn
 52734.375   3098.482 0 # matmult_kmn
 93750.000   2199.862 248 # matmult_kmn
146484.375   2212.523 968 # matmult_kmn
