    58.594   2265.840 0 # matmult_nmk
   234.375   2120.527 0 # matmult_nmk
   937.500   1897.333 0 # matmult_nmk
  2109.375   1808.621 0 # matmult_nmk
  3750.000   1726.468 0 # matmult_nmk
  5859.375   1705.592 0 # matmult_nmk
  8437.500   1697.971 0 # matmult_nmk
 11484.375   1677.882 0 # matmult_nmk
 15000.000   1696.678 0 # matmult_nmk
 18984.375   1695.289 0 # matmult_nmk
 23437.500   1692.664 0 # matmult_nmk
 28359.375   1697.086 0 # matmult_nmk
 33750.000   1662.352 0 # matmult_nmk
 39609.375   1518.121 0 # matmult_nmk
 45937.500   1548.133 0 # matmult_nmk
 52734.375   1473.733 0 # matmult_nmk
 93750.000   1474.447 248 # matmult_nmk
146484.375   1442.659 968 # matmult_nmk
