    58.594   4107.623 0 # matmult_kmn
   234.375   4370.131 0 # matmult_kmn
   937.500   4529.951 0 # matmult_kmn
  2109.375   4462.608 0 # matmult_kmn
  3750.000   4032.935 0 # matmult_kmn
  5859.375   3926.924 0 # matmult_kmn
  8437.500   3951.899 0 # matmult_kmn
 11484.375   3852.057 0 # matmult_kmn
 15000.000   4033.644 0 # matmult_kmn
 18984.375   3980.879 0 # matmult_kmn
 23437.500   3991.592 0 # matmult_kmn
 28359.375   3972.736 0 # matmult_kmn
 33750.000   3982.926 0 # matmult_kmn
 39609.375   3909.122 0 # matmult_kmn
 45937.500   3896.073 0 # matmult_kmn
 52734.375   3536.808 0 # matmult_kmn
 93750.000   2361.469 0 # matmult_kmn
146484.375   2031.550 0 # matmult_kmn
