    58.594   2551.997 0 # matmult_nkm
   234.375   2550.618 0 # matmult_nkm
   759.375   2082.138 0 # matmult_nkm
   937.500   2071.100 0 # matmult_nkm
  1134.375   1847.269 0 # matmult_nkm
  2109.375   1426.159 0 # matmult_nkm
  3750.000   1162.953 0 # matmult_nkm
  5859.375   1204.999 0 # matmult_nkm
  8437.500   1222.583 0 # matmult_nkm
 11484.375   1295.558 0 # matmult_nkm
 15000.000    943.455 0 # matmult_nkm
 18984.375   1271.722 0 # matmult_nkm
 23437.500   1264.350 0 # matmult_nkm
 28359.375   1258.324 0 # matmult_nkm
 33750.000   1121.922 0 # matmult_nkm
 39609.375   1200.270 0 # matmult_nkm
 45937.500   1145.320 0 # matmult_nkm
 52734.375    904.794 0 # matmult_nkm
 93750.000    776.007 0 # matmult_nkm
146484.375    769.689 0 # matmult_nkm
