    58.594   4206.235 0 # matmult_mkn
   234.375   4367.932 0 # matmult_mkn
   759.375   4454.288 0 # matmult_mkn
   937.500   4426.989 0 # matmult_mkn
  1134.375   4471.914 0 # matmult_mkn
  2109.375   4361.500 0 # matmult_mkn
  3750.000   4166.022 0 # matmult_mkn
  5859.375   4076.081 0 # matmult_mkn
  8437.500   4086.162 0 # matmult_mkn
 11484.375   4068.921 0 # matmult_mkn
 15000.000   4122.702 0 # matmult_mkn
 18984.375   4086.141 0 # matmult_mkn
 23437.500   4137.591 0 # matmult_mkn
 28359.375   4098.289 0 # matmult_mkn
 33750.000   4075.707 0 # matmult_mkn
 39609.375   4040.220 0 # matmult_mkn
 45937.500   3742.853 0 # matmult_mkn
 52734.375   3474.872 0 # matmult_mkn
 93750.000   2403.064 0 # matmult_mkn
146484.375   2289.785 0 # matmult_mkn
