    58.594    521.256 0 # matmult_nat
   234.375    506.386 0 # matmult_nat
   937.500    482.669 0 # matmult_nat
  2109.375    463.659 0 # matmult_nat
  3750.000    368.974 0 # matmult_nat
  5859.375    337.500 0 # matmult_nat
  8437.500    395.412 0 # matmult_nat
 11484.375    198.046 0 # matmult_nat
 15000.000    257.500 0 # matmult_nat
 18984.375    187.452 0 # matmult_nat
 23437.500    246.169 0 # matmult_nat
 28359.375    192.505 0 # matmult_nat
 33750.000    267.208 0 # matmult_nat
 39609.375    200.205 0 # matmult_nat
 45937.500    255.134 0 # matmult_nat
 52734.375    193.216 0 # matmult_nat
 93750.000    257.000 0 # matmult_nat
146484.375    202.901 0 # matmult_nat
